Walsall,
Months,Dates
January,""
February,"20,25,26"
March, "2,4,5,9,13,16,17,18,23,25,26,31"
April, "1,2,6,10,13,14,15,20,22,28,29,30"
May,
June,
July,
August,
September,
October,
November,
December,""
,
Birmingham,
Months,Dates
January,""
February,"4,5,12,13,19,20,26,27"
March, "4,5,9,10,19,20,26,27"
April,
May,
June,
July,
August,
September,
October,
November,
December,
,
Manchester,Dates
January,""
February,"4,5,12,13,19,20,26,27"
March, "4,5,9,10,19,20,26,27"
April,
May,
June,
July,
August,
September,
October,
November,
December,
